card,card_type,comment,del,elapsed,elapsed_plus,event_incident_typefk,goal_type,id,match_id,n,player1,pos_x,pos_y,rcards,sortorder,stats,subtype,team,type,value,ycards
,y,y,,90,2,73,,517592,1799,344,30829,,,,1,,serious_fouls,10260,card,,
,y,y,,26,,73,,515574,1800,262,97988,,,,1,,serious_fouls,8528,card,,
,y,y,,63,,73,,516268,1800,292,111865,,,,1,,serious_fouls,8528,card,,
,y,y,,83,,73,,516545,1800,314,30843,,,,2,,serious_fouls,9825,card,,
,y,y,,78,,73,,521913,1801,352,30966,,,,3,,serious_fouls,8654,card,,
,y,y,,90,1,73,,521946,1801,366,37169,,,,3,,serious_fouls,8654,card,,
,y,y,,31,,73,,519993,1802,265,30357,,,,2,,serious_fouls,10252,card,,
,y,y,,45,1,73,,520213,1802,280,39618,,,,4,,serious_fouls,8668,card,,
,y,y,,90,4,70,,520788,1802,338,33086,,,,0,,,8668,card,,
,y,y,,84,,73,,516562,1803,308,40574,,,,3,,serious_fouls,10194,card,,
,y,y,,19,,129,,515506,1804,215,30915,,,,5,,hands,8650,card,,
,y,y,,43,,73,,515820,1804,233,38711,,,,1,,serious_fouls,8655,card,,
,y,y,,59,,73,,516145,1804,249,37442,,,,1,,serious_fouls,8650,card,,
,y,y,,60,,73,,516175,1804,255,24136,,,,2,,serious_fouls,8655,card,,
,y,y,,61,,73,,515080,1805,251,37266,,,,1,,serious_fouls,9879,card,,
,y,y,,74,,73,,515109,1805,263,24213,,,,2,,serious_fouls,8456,card,,
,y,y,,90,1,73,,515178,1805,284,24843,,,,3,,serious_fouls,9879,card,,
,y,y,,18,,73,,515497,1806,232,23934,,,,3,,serious_fouls,8559,card,,
,y,y,,65,,77,,516301,1806,302,24336,,,,2,,shirt_pull,8559,card,,
,y,y,,82,,73,,516543,1806,296,30699,,,,2,,serious_fouls,8455,card,,
,y,y,,42,,70,,519524,1807,215,25517,,,,1,,,8462,card,,
,y,y,,60,,70,,519834,1807,234,26527,,,,0,,,8659,card,,
,y,y,,90,4,73,,520271,1807,266,34036,,,,3,,serious_fouls,8462,card,,
